Period (sec),RSN-6 SRSS pSa (g),RSN-266 SRSS pSa (g),RSN-461 SRSS pSa (g),RSN-4098 SRSS pSa (g),RSN-5823 SRSS pSa (g),RSN-6890 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-836 SRSS pSa (g),RSN-841 SRSS pSa (g),RSN-1454 SRSS pSa (g),RSN-5883 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
1.4,0.24401062,0.42856328,0.22038879,0.28797185,0.39444299,0.2184823,0.09555373,0.31136702,0.25866843,0.6768052,0.09952608,,,,,,,,,,,,,,,,,,,,,,
1.5,0.21073511,0.43940178,0.18878033,0.24906677,0.29553874,0.22373989,0.08784568,0.28643891,0.2268791,0.58941601,0.09413018,,,,,,,,,,,,,,,,,,,,,,
1.6,0.21052154,0.4544722,0.15262773,0.22822285,0.19855356,0.22742488,0.08330328,0.33646493,0.20158119,0.50606941,0.08194697,,,,,,,,,,,,,,,,,,,,,,
1.7,0.21806223,0.42248575,0.12920514,0.20773776,0.19879247,0.23340146,0.07250708,0.37496188,0.18447179,0.46263786,0.07004979,,,,,,,,,,,,,,,,,,,,,,
1.8,0.22526851,0.39161102,0.11312865,0.18554761,0.20051741,0.24468483,0.06386485,0.288931,0.14214323,0.45893724,0.05374111,,,,,,,,,,,,,,,,,,,,,,
1.9,0.23992959,0.35907041,0.10434574,0.16316784,0.16086378,0.24934967,0.07166612,0.21694983,0.12828803,0.43380139,0.04817582,,,,,,,,,,,,,,,,,,,,,,
2,0.25580558,0.37182233,0.0944536,0.14407838,0.17157678,0.2459205,0.07021803,0.19165517,0.1276706,0.41946655,0.03991697,,,,,,,,,,,,,,,,,,,,,,
2.2,0.22293753,0.35416709,0.06892789,0.10953476,0.18590368,0.25911353,0.05086014,0.1436865,0.12910469,0.36566767,0.02725899,,,,,,,,,,,,,,,,,,,,,,
2.4,0.18484551,0.3110478,0.06604728,0.08813402,0.16927792,0.24969177,0.04594568,0.14533347,0.10680698,0.27795605,0.02250637,,,,,,,,,,,,,,,,,,,,,,
2.5,0.1675246,0.28350814,0.06388466,0.07980769,0.18164419,0.23182038,0.04314968,0.13296293,0.08938922,0.25450827,0.01917505,,,,,,,,,,,,,,,,,,,,,,
2.6,0.15555369,0.24476352,0.05778028,0.07198411,0.16922334,0.20864172,0.03925168,0.10893488,0.07564494,0.23479784,0.01712483,,,,,,,,,,,,,,,,,,,,,,
2.8,0.14354944,0.19520353,0.04358122,0.05950976,0.16170913,0.16022003,0.04291309,0.09774684,0.05893336,0.19181897,0.01465822,,,,,,,,,,,,,,,,,,,,,,
3,0.127569,0.17869613,0.03613277,0.05005185,0.13686781,0.13906361,0.05212118,0.0857158,0.05124427,0.16381555,0.01327432,,,,,,,,,,,,,,,,,,,,,,
3.2,0.1043149,0.19668856,0.02560693,0.04236304,0.14244264,0.12689808,0.05482696,0.09280555,0.04613705,0.14607022,0.01285299,,,,,,,,,,,,,,,,,,,,,,
3.4,0.09000665,0.22231703,0.02445869,0.03610941,0.13535837,0.12482502,0.05551741,0.09937602,0.04384119,0.14068605,0.01239583,,,,,,,,,,,,,,,,,,,,,,
3.5,0.08483205,0.22205851,0.0238238,0.03343084,0.13477206,0.12393805,0.05619545,0.10419353,0.04309041,0.13986813,0.01166024,,,,,,,,,,,,,,,,,,,,,,
