Period (sec),RSN-161 SRSS pSa (g),RSN-548 SRSS pSa (g),RSN-806 SRSS pSa (g),RSN-2507 SRSS pSa (g),RSN-4879 SRSS pSa (g),RSN-1410 SRSS pSa (g),RSN-1640 SRSS pSa (g),RSN-1810 SRSS pSa (g),RSN-1825 SRSS pSa (g),RSN-5790 SRSS pSa (g),RSN-6901 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
1.4,0.27199197,0.20863488,0.31171116,0.24008114,0.40262719,0.74355435,0.33465386,0.24858189,0.21727255,0.12751727,0.18098522,,,,,,,,,,,,,,,,,,,,,,
1.5,0.26586341,0.19438744,0.25118569,0.26576022,0.32078798,0.75937787,0.30357331,0.19785565,0.21978134,0.11152626,0.14082704,,,,,,,,,,,,,,,,,,,,,,
1.6,0.25641731,0.18110221,0.20921565,0.29616067,0.27738502,0.72425989,0.27697758,0.20161526,0.23179938,0.0989212,0.1193874,,,,,,,,,,,,,,,,,,,,,,
1.7,0.24142907,0.16844097,0.20507545,0.33011803,0.24363009,0.66881973,0.26997133,0.21217617,0.24888279,0.08397077,0.12194453,,,,,,,,,,,,,,,,,,,,,,
1.8,0.22582663,0.16001845,0.2249807,0.33970227,0.22130932,0.60703861,0.26030956,0.22405505,0.30480425,0.06907556,0.12026642,,,,,,,,,,,,,,,,,,,,,,
1.9,0.21181412,0.15189759,0.2213315,0.35346167,0.22144108,0.60405603,0.23136629,0.20333456,0.3151968,0.06225927,0.13467723,,,,,,,,,,,,,,,,,,,,,,
2,0.20150696,0.1424106,0.19843332,0.36429302,0.22038402,0.53489782,0.19507722,0.17797239,0.33121655,0.05764223,0.14231807,,,,,,,,,,,,,,,,,,,,,,
2.2,0.18659453,0.11489295,0.20454575,0.30924962,0.18162949,0.39823383,0.17459341,0.15427822,0.27239871,0.04072616,0.12087051,,,,,,,,,,,,,,,,,,,,,,
2.4,0.18552177,0.0866926,0.26459835,0.26547397,0.13610343,0.44143473,0.14040742,0.15542525,0.2409698,0.03043481,0.10231455,,,,,,,,,,,,,,,,,,,,,,
2.5,0.17756674,0.0770434,0.29120464,0.2554954,0.12170323,0.42254855,0.11828645,0.15319018,0.2055677,0.02688947,0.07912682,,,,,,,,,,,,,,,,,,,,,,
2.6,0.17400109,0.07184989,0.31772769,0.24878798,0.10739355,0.40221118,0.10700508,0.14602037,0.18186401,0.02360923,0.07878311,,,,,,,,,,,,,,,,,,,,,,
2.8,0.18010486,0.05927579,0.36798519,0.25484681,0.08786422,0.41986323,0.10779049,0.1231295,0.1621159,0.01949427,0.06804811,,,,,,,,,,,,,,,,,,,,,,
3,0.17195204,0.04748173,0.38594393,0.23118863,0.0751932,0.35824571,0.08626329,0.10669655,0.18995555,0.0173787,0.07082034,,,,,,,,,,,,,,,,,,,,,,
3.2,0.14990904,0.04118156,0.35086643,0.20177954,0.06475736,0.31798967,0.07086347,0.10011723,0.21214753,0.01660988,0.06272999,,,,,,,,,,,,,,,,,,,,,,
3.4,0.13884614,0.03502787,0.29201126,0.17308372,0.05328341,0.28257827,0.06944098,0.09302064,0.22926694,0.01580168,0.05142259,,,,,,,,,,,,,,,,,,,,,,
3.5,0.13340466,0.03248966,0.25398544,0.1636746,0.05145031,0.26511205,0.07079568,0.08979637,0.22830819,0.01494596,0.04547019,,,,,,,,,,,,,,,,,,,,,,
3.6,0.12820944,0.03032609,0.21569398,0.15378542,0.04867198,0.24687571,0.07048797,0.09056542,0.22258846,0.01366516,0.04066375,,,,,,,,,,,,,,,,,,,,,,
3.8,0.11943957,0.02559629,0.15341926,0.13454505,0.04455775,0.22446396,0.06759835,0.07894992,0.23259463,0.01298494,0.03031151,,,,,,,,,,,,,,,,,,,,,,
4,0.11194013,0.0217765,0.11908917,0.12436491,0.04319238,0.20714513,0.06475379,0.0789535,0.2504465,0.01316004,0.02408974,,,,,,,,,,,,,,,,,,,,,,
4.2,0.10916096,0.01976933,0.09620755,0.11091474,0.0402812,0.18767117,0.06203659,0.07801439,0.25525897,0.01324926,0.02036116,,,,,,,,,,,,,,,,,,,,,,
4.4,0.1103429,0.01841309,0.08523524,0.0974289,0.03609848,0.16955572,0.05692051,0.07354038,0.2402705,0.01138454,0.01689124,,,,,,,,,,,,,,,,,,,,,,
4.6,0.11138667,0.01785157,0.084918,0.08621008,0.03252842,0.1435349,0.04992945,0.07125669,0.21891104,0.00953846,0.01400757,,,,,,,,,,,,,,,,,,,,,,
4.8,0.10626249,0.01633249,0.08418434,0.07768152,0.03027704,0.11368064,0.03894129,0.06793982,0.2048434,0.00873287,0.01230169,,,,,,,,,,,,,,,,,,,,,,
5,0.09570123,0.01490708,0.08917541,0.07376594,0.02902884,0.09784506,0.02935315,0.0692161,0.1949531,0.00844396,0.0106182,,,,,,,,,,,,,,,,,,,,,,
5.5,0.07276021,0.01163172,0.0824724,0.0731014,0.02640217,0.07577617,0.0187297,0.06061266,0.16457538,0.00782783,0.00867217,,,,,,,,,,,,,,,,,,,,,,
6,0.05287317,0.00911319,0.07114373,0.06539468,0.02486862,0.06577319,0.01408712,0.05750808,0.12814727,0.00835396,0.00747906,,,,,,,,,,,,,,,,,,,,,,
6.5,0.04387871,0.00716253,0.0556482,0.05745438,0.02100175,0.05414041,0.01066018,0.05644821,0.10757089,0.00767717,0.00660104,,,,,,,,,,,,,,,,,,,,,,
7,0.03793847,0.00585842,0.05002362,0.04793766,0.0161266,0.04793963,0.0084093,0.05356032,0.08211415,0.00645221,0.00557662,,,,,,,,,,,,,,,,,,,,,,
7.5,0.0326178,0.0047066,0.04519717,0.04226115,0.01164624,0.048612,0.00697514,0.04980012,0.06856536,0.00567018,0.00482534,,,,,,,,,,,,,,,,,,,,,,
